Date,"MSFT AAPL_('Close', 'AAPL')","MSFT AAPL_('Close', 'MSFT')","MSFT AAPL_('High', 'AAPL')","MSFT AAPL_('High', 'MSFT')","MSFT AAPL_('Low', 'AAPL')","MSFT AAPL_('Low', 'MSFT')","MSFT AAPL_('Open', 'AAPL')","MSFT AAPL_('Open', 'MSFT')","MSFT AAPL_('Volume', 'AAPL')","MSFT AAPL_('Volume', 'MSFT')"
2024-02-22,182.87818908691406,406.35260009765625,183.46342668087547,407.51740782025877,180.9836551083553,403.3122489001272,181.99539101250986,404.91139681164196,52292200,27009900
2024-02-23,181.04315185546875,405.0594177246094,183.54275049121756,410.5083711673126,180.75548990166286,403.70705278478863,183.51299444569602,410.3208439519873,45119700,16295900
2024-02-26,179.6941375732422,402.2955017089844,181.28118200444274,406.8560435321,179.1882545795608,402.11779517864807,180.76540051034647,406.16503956653713,40867400,16193500
2024-02-27,181.15225219726562,402.23626708984375,182.43180748858953,403.0654537547415,178.1070858709482,398.65297570324026,179.6346334198553,402.73968356058333,54318900,14835800
2024-02-28,179.95204162597656,402.4731750488281,181.6382830805114,404.0328292486966,178.67248629654023,400.10406595257604,181.03321827875988,402.9272470121027,48953900,13183100
2024-02-29,179.28746032714844,408.3169860839844,181.09274105155225,408.8697771758562,178.07733075339527,400.6963316033454,179.80325698202418,403.3813298173751,136682600,31947300
2024-03-01,178.20626831054688,410.1530456542969,179.06922378267282,410.51827940686405,175.94471834990426,405.5925039738578,178.09715778019478,405.9774695070198,73563100,17823400
2024-03-04,173.68319702148438,409.58056640625,175.46862034292982,411.97928843531616,172.3837840784165,407.01401878725187,174.72468891388633,408.11960111547035,81510100,17596000
2024-03-05,168.7434539794922,397.4683837890625,170.64791631173568,408.9191120836045,168.2474997741583,395.4842705013913,169.37827475690668,408.632835591906,95132400,26919200
2024-03-06,167.75155639648438,396.9155578613281,169.85441265484894,399.9460577017337,167.31511424596866,393.2631907054144,169.67586125903696,397.7842380875546,68587700,22344100
2024-03-07,167.63253784179688,403.8749694824219,169.34853532264208,404.50671793543535,167.12666995146384,397.0637384859816,167.78131806385875,400.8938132709768,71765100,18718500
2024-03-08,169.3485107421875,400.992431640625,172.29447979399498,405.1383946723733,167.5730014302277,399.12673923888235,167.6325135104144,402.7100302645635,76267000,18002200
2024-03-11,171.35218811035156,399.3143310546875,172.9690037589795,400.45940694447387,170.65785520874886,396.09630359488256,171.54065314121274,398.5641317733387,60139500,16120800
2024-03-12,171.82830810546875,409.93585205078125,172.62183794587216,410.22212853968995,169.62626998762764,401.55511762855593,171.7489536078961,402.3744232866482,59825400,22457000
2024-03-13,169.7453155517578,409.75823974609375,171.78864474969012,412.7985911258489,169.37829909505535,406.1552162526794,171.37204497358655,412.7196338707947,52488700,17115900
2024-03-14,171.60015869140625,419.7479553222656,172.89955631533712,422.31450262164736,170.65784870831544,412.6109854719372,171.5108905650266,414.8320308055619,72913500,34157300
2024-03-15,171.22323608398438,411.0611877441406,171.22323608398438,417.16165133292435,168.91208752136302,407.4778966665496,169.78497182252738,413.8942494694405,121752700,45079900
2024-03-18,172.31434631347656,411.9496154785156,176.27206668827822,415.3157366151304,172.11596763998543,408.45516246098214,174.1493830977455,408.9191153478435,75604200,20106000
2024-03-19,174.65525817871094,415.98699951171875,175.18096849600929,416.2436632864421,171.62993409357304,410.20239450160744,172.92933186407737,412.4530526322829,55215200,19837900
2024-03-20,177.22430419921875,419.7578125,177.22430419921875,420.4783989986328,173.67326966604173,415.2466156701396,174.29817691484007,416.569367867818,53423100,17860100
2024-03-21,169.9833526611328,423.84454345703125,176.05384289670778,425.27589583117316,169.45764237357878,421.6629918116586,175.61740074055217,424.29861540078343,106181300,21296200
2024-03-22,170.88601684570312,423.22265625,171.64979072547655,424.3282384659813,168.6839784855534,420.58703259669744,170.3702201223851,424.17032397071773,71160100,17648500
2024-03-25,169.46759033203125,417.4183044433594,170.54876707334867,421.90976968993664,168.0789092110998,416.18439038520984,169.18985713490977,419.7676816300529,54288300,18060500
2024-03-26,168.33680725097656,416.223876953125,170.0329624014482,420.5080228747841,168.20785429573576,415.9277496341745,168.6244540719099,420.1329081875438,57388400,16725600
2024-03-27,171.9076690673828,416.0067138671875,172.19533102381604,418.9878695106981,168.73356472173438,413.61787312123863,169.03114031499092,418.9779885582823,60273300,16705000
2024-03-28,170.09246826171875,415.30584716796875,170.83639964948821,416.4410420434957,169.13031578937776,413.7264311944793,170.36028779920613,415.54274902029323,65672700,21871200
2024-04-01,168.6542205810547,419.1063232421875,169.86435030206175,422.38360623153415,168.1086678157934,416.78655877307597,169.80483820681948,418.49430668541237,46240500,16316000
